Image,Label,SubjectID,Ciba Vision Lens Color,Gender,B_L Lens Used,PupilX,PupilY,PupilR,IrisX,IrisY,IrisR
Cogent Scanner/52/Colored/20120919162211_L,Colored,52,Gray,Male,No,214,145,38,220,157,119
Cogent Scanner/52/Colored/20120919162211_R,Colored,52,Gray,Male,No,414,216,34,415,235,121
Cogent Scanner/52/Colored/20120919162215_L,Colored,52,Gray,Male,No,167,138,46,173,154,119
Cogent Scanner/52/Colored/20120919162215_R,Colored,52,Gray,Male,No,368,230,37,364,241,122
Cogent Scanner/52/Colored/20120919162219_L,Colored,52,Gray,Male,No,189,96,33,193,116,116
Cogent Scanner/52/Colored/20120919162219_R,Colored,52,Gray,Male,No,367,198,46,367,214,117
Cogent Scanner/52/Colored/20120919162222_L,Colored,52,Gray,Male,No,180,140,39,183,158,112
Cogent Scanner/52/Colored/20120919162222_R,Colored,52,Gray,Male,No,375,236,39,372,246,118
Cogent Scanner/52/Colored/20120919162226_L,Colored,52,Gray,Male,No,164,148,41,170,161,112
Cogent Scanner/52/Colored/20120919162226_R,Colored,52,Gray,Male,No,363,228,34,360,246,114
Cogent Scanner/52/Colored/20120919162231_L,Colored,52,Gray,Male,No,254,138,40,259,154,116
Cogent Scanner/52/Colored/20120919162231_R,Colored,52,Gray,Male,No,406,213,31,407,220,113
Cogent Scanner/52/Normal/20120919153907_L,Normal,52,Gray,Male,No,164,172,45,169,189,145
Cogent Scanner/52/Normal/20120919153907_R,Normal,52,Gray,Male,No,392,233,56,383,249,146
Cogent Scanner/52/Normal/20120919153917_L,Normal,52,Gray,Male,No,244,164,30,247,168,105
Cogent Scanner/52/Normal/20120919153917_R,Normal,52,Gray,Male,No,405,216,35,401,214,107
Cogent Scanner/52/Normal/20120919153923_L,Normal,52,Gray,Male,No,293,156,48,294,159,116
Cogent Scanner/52/Normal/20120919153923_R,Normal,52,Gray,Male,No,461,205,51,459,217,114
Cogent Scanner/52/Normal/20120919153925_L,Normal,52,Gray,Male,No,300,139,32,301,152,105
Cogent Scanner/52/Normal/20120919153925_R,Normal,52,Gray,Male,No,452,222,45,451,233,108
Cogent Scanner/52/Normal/20120919153932_L,Normal,52,Gray,Male,No,259,92,35,262,117,113
Cogent Scanner/52/Normal/20120919153932_R,Normal,52,Gray,Male,No,421,168,46,418,175,114
Cogent Scanner/52/Normal/20120919153935_L,Normal,52,Gray,Male,No,231,166,42,233,170,113
Cogent Scanner/52/Normal/20120919153935_R,Normal,52,Gray,Male,No,423,225,35,420,234,113
Cogent Scanner/52/Normal/20120919153938_L,Normal,52,Gray,Male,No,238,143,38,241,159,115
Cogent Scanner/52/Normal/20120919153938_R,Normal,52,Gray,Male,No,412,206,44,415,209,117
Cogent Scanner/52/Normal/20120919153940_L,Normal,52,Gray,Male,No,244,126,41,250,134,117
Cogent Scanner/52/Normal/20120919153940_R,Normal,52,Gray,Male,No,443,172,36,439,172,121
Cogent Scanner/52/Transparent/20120919155523_L,Transparent,52,Gray,Male,No,197,182,32,203,187,119
Cogent Scanner/52/Transparent/20120919155523_R,Transparent,52,Gray,Male,No,406,223,32,399,237,118
Cogent Scanner/52/Transparent/20120919155526_L,Transparent,52,Gray,Male,No,225,128,34,228,147,118
Cogent Scanner/52/Transparent/20120919155526_R,Transparent,52,Gray,Male,No,421,169,32,416,188,118
Cogent Scanner/52/Transparent/20120919155528_L,Transparent,52,Gray,Male,No,218,145,43,220,162,118
Cogent Scanner/52/Transparent/20120919155528_R,Transparent,52,Gray,Male,No,414,178,35,410,197,117
Cogent Scanner/52/Transparent/20120919155533_L,Transparent,52,Gray,Male,No,184,90,39,188,122,122
Cogent Scanner/52/Transparent/20120919155533_R,Transparent,52,Gray,Male,No,358,166,38,354,175,123
Cogent Scanner/52/Transparent/20120919155536_L,Transparent,52,Gray,Male,No,175,149,34,179,158,122
Cogent Scanner/52/Transparent/20120919155536_R,Transparent,52,Gray,Male,No,362,207,33,358,216,126
Cogent Scanner/52/Transparent/20120919155541_L,Transparent,52,Gray,Male,No,195,96,42,198,119,117
Cogent Scanner/52/Transparent/20120919155541_R,Transparent,52,Gray,Male,No,386,158,47,390,167,118
Cogent Scanner/53/Colored/20120912162407_L,Colored,53,Hazel,Male,No,239,241,43,246,256,109
Cogent Scanner/53/Colored/20120912162407_R,Colored,53,Hazel,Male,No,239,248,40,237,263,113
Cogent Scanner/53/Colored/20120912162412_L,Colored,53,Hazel,Male,No,275,165,52,284,171,120
Cogent Scanner/53/Colored/20120912162412_R,Colored,53,Hazel,Male,No,286,189,46,282,225,124
Cogent Scanner/53/Colored/20120912162416_L,Colored,53,Hazel,Male,No,284,197,37,295,217,119
Cogent Scanner/53/Colored/20120912162416_R,Colored,53,Hazel,Male,No,294,208,39,290,250,122
Cogent Scanner/53/Colored/20120912162420_L,Colored,53,Hazel,Male,No,265,183,47,272,191,119
Cogent Scanner/53/Colored/20120912162420_R,Colored,53,Hazel,Male,No,260,199,47,255,218,122
Cogent Scanner/53/Colored/20120912162423_L,Colored,53,Hazel,Male,No,262,143,32,274,157,116
Cogent Scanner/53/Colored/20120912162423_R,Colored,53,Hazel,Male,No,268,165,37,262,182,118
Cogent Scanner/53/Normal/20120912170058_L,Normal,53,Hazel,Male,No,255,145,34,264,149,113
Cogent Scanner/53/Normal/20120912170058_R,Normal,53,Hazel,Male,No,258,154,38,251,164,117
Cogent Scanner/53/Normal/20120912170101_L,Normal,53,Hazel,Male,No,246,155,32,253,177,115
Cogent Scanner/53/Normal/20120912170101_R,Normal,53,Hazel,Male,No,241,161,35,238,193,115
Cogent Scanner/53/Normal/20120912170104_L,Normal,53,Hazel,Male,No,238,154,47,244,169,112
Cogent Scanner/53/Normal/20120912170104_R,Normal,53,Hazel,Male,No,227,172,35,224,202,116
Cogent Scanner/53/Normal/20120912170111_L,Normal,53,Hazel,Male,No,260,164,38,268,169,113
Cogent Scanner/53/Normal/20120912170111_R,Normal,53,Hazel,Male,No,255,177,44,251,188,119
Cogent Scanner/53/Normal/20120912170114_L,Normal,53,Hazel,Male,No,247,157,30,255,158,116
Cogent Scanner/53/Normal/20120912170114_R,Normal,53,Hazel,Male,No,250,183,40,246,175,118
Cogent Scanner/53/Transparent/20120911164607_L,Transparent,53,Hazel,Male,No,202,152,32,211,181,110
Cogent Scanner/53/Transparent/20120911164607_R,Transparent,53,Hazel,Male,No,289,192,36,286,225,111
Cogent Scanner/53/Transparent/20120911164611_L,Transparent,53,Hazel,Male,No,183,138,44,185,149,103
Cogent Scanner/53/Transparent/20120911164611_R,Transparent,53,Hazel,Male,No,275,161,33,268,192,106
Cogent Scanner/53/Transparent/20120911164615_L,Transparent,53,Hazel,Male,No,198,147,31,201,157,104
Cogent Scanner/53/Transparent/20120911164615_R,Transparent,53,Hazel,Male,No,298,182,48,292,207,111
Cogent Scanner/53/Transparent/20120911164619_L,Transparent,53,Hazel,Male,No,206,148,36,212,173,104
Cogent Scanner/53/Transparent/20120911164619_R,Transparent,53,Hazel,Male,No,299,163,34,294,197,112
Cogent Scanner/53/Transparent/20120911164625_L,Transparent,53,Hazel,Male,No,215,129,37,220,154,103
Cogent Scanner/53/Transparent/20120911164625_R,Transparent,53,Hazel,Male,No,303,146,31,305,181,107
Cogent Scanner/54/Colored/20120914141032_L,Colored,54,Green,Female,No,317,144,29,327,161,133
Cogent Scanner/54/Colored/20120914141032_R,Colored,54,Green,Female,No,469,172,39,458,195,132
Cogent Scanner/54/Colored/20120914141036_L,Colored,54,Green,Female,No,242,163,31,252,194,134
Cogent Scanner/54/Colored/20120914141036_R,Colored,54,Green,Female,No,376,203,31,369,227,137
Cogent Scanner/54/Colored/20120914141041_L,Colored,54,Green,Female,No,300,139,29,308,147,133
Cogent Scanner/54/Colored/20120914141041_R,Colored,54,Green,Female,No,426,187,36,417,210,130
Cogent Scanner/54/Colored/20120914141045_L,Colored,54,Green,Female,No,297,122,43,303,147,133
Cogent Scanner/54/Colored/20120914141045_R,Colored,54,Green,Female,No,338,208,38,329,244,131
Cogent Scanner/54/Colored/20120914141051_L,Colored,54,Green,Female,No,302,126,44,305,145,133
Cogent Scanner/54/Colored/20120914141051_R,Colored,54,Green,Female,No,344,192,40,336,215,135
Cogent Scanner/54/Colored/20120914141054_L,Colored,54,Green,Female,No,231,116,42,241,142,137
Cogent Scanner/54/Colored/20120914141054_R,Colored,54,Green,Female,No,365,195,31,357,223,136
Cogent Scanner/54/Normal/20120912140023_L,Normal,54,Green,Female,No,217,151,33,224,160,114
Cogent Scanner/54/Normal/20120912140023_R,Normal,54,Green,Female,No,364,239,31,360,250,115
Cogent Scanner/54/Normal/20120912140027_L,Normal,54,Green,Female,No,272,164,47,279,169,128
Cogent Scanner/54/Normal/20120912140027_R,Normal,54,Green,Female,No,405,221,35,399,252,133
Cogent Scanner/54/Normal/20120912140034_L,Normal,54,Green,Female,No,267,162,34,276,194,125
Cogent Scanner/54/Normal/20120912140034_R,Normal,54,Green,Female,No,450,203,35,437,243,131
Cogent Scanner/54/Normal/20120912140037_L,Normal,54,Green,Female,No,251,161,31,259,182,128
Cogent Scanner/54/Normal/20120912140037_R,Normal,54,Green,Female,No,383,218,34,371,248,130
Cogent Scanner/54/Normal/20120912140039_L,Normal,54,Green,Female,No,205,140,31,213,153,123
Cogent Scanner/54/Normal/20120912140039_R,Normal,54,Green,Female,No,375,189,33,367,211,124
Cogent Scanner/54/Normal/20120912140042_L,Normal,54,Green,Female,No,194,131,31,203,141,121
Cogent Scanner/54/Normal/20120912140042_R,Normal,54,Green,Female,No,372,177,34,366,212,129
Cogent Scanner/54/Transparent/20120912125059_L,Transparent,54,Green,Female,No,220,126,32,225,134,111
Cogent Scanner/54/Transparent/20120912125059_R,Transparent,54,Green,Female,No,412,197,38,407,223,113
Cogent Scanner/54/Transparent/20120912125106_L,Transparent,54,Green,Female,No,284,116,28,290,129,112
Cogent Scanner/54/Transparent/20120912125106_R,Transparent,54,Green,Female,No,434,210,29,424,218,115
Cogent Scanner/54/Transparent/20120912125109_L,Transparent,54,Green,Female,No,267,148,25,273,176,114
Cogent Scanner/54/Transparent/20120912125109_R,Transparent,54,Green,Female,No,382,215,39,378,237,120
Cogent Scanner/54/Transparent/20120912125117_L,Transparent,54,Green,Female,No,261,178,33,265,185,107
Cogent Scanner/54/Transparent/20120912125117_R,Transparent,54,Green,Female,No,392,277,33,384,284,110
Cogent Scanner/54/Transparent/20120912125147_L,Transparent,54,Green,Female,No,309,182,32,314,186,107
Cogent Scanner/54/Transparent/20120912125147_R,Transparent,54,Green,Female,No,399,262,31,394,275,110
Cogent Scanner/55/Colored/20120920143357_L,Colored,55,Gray,Male,No,352,238,28,358,244,98
Cogent Scanner/55/Colored/20120920143357_R,Colored,55,Gray,Male,No,285,214,30,283,218,104
Cogent Scanner/55/Colored/20120920143402_L,Colored,55,Gray,Male,No,324,247,27,332,253,96
Cogent Scanner/55/Colored/20120920143402_R,Colored,55,Gray,Male,No,254,255,28,251,257,103
Cogent Scanner/55/Colored/20120920143405_L,Colored,55,Gray,Male,No,281,206,37,285,218,120
Cogent Scanner/55/Colored/20120920143405_R,Colored,55,Gray,Male,No,207,209,32,203,213,126
Cogent Scanner/55/Colored/20120920143412_L,Colored,55,Gray,Male,No,311,239,32,319,254,117
Cogent Scanner/55/Colored/20120920143412_R,Colored,55,Gray,Male,No,222,253,33,219,268,125
Cogent Scanner/55/Colored/20120920143415_L,Colored,55,Gray,Male,No,313,265,37,322,273,116
Cogent Scanner/55/Colored/20120920143415_R,Colored,55,Gray,Male,No,226,271,36,222,275,124
Cogent Scanner/55/Colored/20120920143417_L,Colored,55,Gray,Male,No,325,265,38,331,275,115
Cogent Scanner/55/Colored/20120920143417_R,Colored,55,Gray,Male,No,221,265,46,220,266,122
Cogent Scanner/55/Normal/20120912150253_L,Normal,55,Gray,Male,No,153,203,40,158,197,110
Cogent Scanner/55/Normal/20120912150253_R,Normal,55,Gray,Male,No,274,227,32,266,229,109
Cogent Scanner/55/Normal/20120912150256_L,Normal,55,Gray,Male,No,247,187,26,252,187,102
Cogent Scanner/55/Normal/20120912150256_R,Normal,55,Gray,Male,No,374,201,27,366,194,112
Cogent Scanner/55/Normal/20120912150300_L,Normal,55,Gray,Male,No,272,167,24,275,164,102
Cogent Scanner/55/Normal/20120912150300_R,Normal,55,Gray,Male,No,399,180,32,395,174,110
Cogent Scanner/55/Normal/20120912150303_L,Normal,55,Gray,Male,No,287,178,28,291,185,103
Cogent Scanner/55/Normal/20120912150303_R,Normal,55,Gray,Male,No,410,189,30,402,181,112
Cogent Scanner/55/Normal/20120912150307_L,Normal,55,Gray,Male,No,264,177,29,270,177,103
Cogent Scanner/55/Normal/20120912150307_R,Normal,55,Gray,Male,No,387,198,30,383,197,110
Cogent Scanner/55/Normal/20120912150311_L,Normal,55,Gray,Male,No,280,174,25,286,168,100
