Image,Label,SubjectID,Ciba Vision Lens Color,Gender,B_L Lens Used,PupilX,PupilY,PupilR,IrisX,IrisY,IrisR
Cogent Scanner/1/Colored/20120914164317_L,Colored,1,Blue,Female,No,320,201,42,320,221,130
Cogent Scanner/1/Colored/20120914164317_R,Colored,1,Blue,Female,No,377,268,62,376,273,125
Cogent Scanner/1/Colored/20120914164320_L,Colored,1,Blue,Female,No,322,222,59,323,236,129
Cogent Scanner/1/Colored/20120914164320_R,Colored,1,Blue,Female,No,389,246,53,385,263,132
Cogent Scanner/1/Colored/20120914164322_L,Colored,1,Blue,Female,No,317,213,55,321,238,130
Cogent Scanner/1/Colored/20120914164322_R,Colored,1,Blue,Female,No,402,242,51,397,263,130
Cogent Scanner/1/Colored/20120914164325_L,Colored,1,Blue,Female,No,327,220,56,329,234,134
Cogent Scanner/1/Colored/20120914164325_R,Colored,1,Blue,Female,No,404,242,56,400,262,133
Cogent Scanner/1/Colored/20120914164328_L,Colored,1,Blue,Female,No,337,217,45,340,236,133
Cogent Scanner/1/Colored/20120914164328_R,Colored,1,Blue,Female,No,389,256,43,384,283,133
Cogent Scanner/1/Colored/20120914164331_L,Colored,1,Blue,Female,No,292,221,47,291,228,140
Cogent Scanner/1/Colored/20120914164331_R,Colored,1,Blue,Female,No,356,240,57,352,248,136
Cogent Scanner/1/Colored/20120914164333_L,Colored,1,Blue,Female,No,314,218,42,313,244,137
Cogent Scanner/1/Colored/20120914164333_R,Colored,1,Blue,Female,No,382,232,51,376,250,135
Cogent Scanner/1/Normal/20120914163848_L,Normal,1,Blue,Female,No,316,138,32,319,143,111
Cogent Scanner/1/Normal/20120914163848_R,Normal,1,Blue,Female,No,366,202,29,363,216,97
Cogent Scanner/1/Normal/20120914163856_L,Normal,1,Blue,Female,No,292,153,38,295,172,127
Cogent Scanner/1/Normal/20120914163856_R,Normal,1,Blue,Female,No,355,206,39,349,223,120
Cogent Scanner/1/Normal/20120914163901_L,Normal,1,Blue,Female,No,273,170,49,275,181,126
Cogent Scanner/1/Normal/20120914163901_R,Normal,1,Blue,Female,No,335,219,49,334,231,122
Cogent Scanner/1/Normal/20120914163905_L,Normal,1,Blue,Female,No,284,135,37,289,149,129
Cogent Scanner/1/Normal/20120914163905_R,Normal,1,Blue,Female,No,341,185,37,340,192,123
